Section,Portal,Module,Task / Feature,Status,Pri,Route / Page,API Endpoint(s)
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Ofsted Hub,SAR history (previous submissions),New Page,3,/ofsted,GET /api/v1/ofsted/sar/history
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Ofsted Hub,Inspection readiness checklist,New Page,2,/ofsted,"GET /api/v1/ofsted/checklist, PATCH /api/v1/ofsted/checklist/:id"
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,QIP,"QIP action list (improvement area, owner, target date, RAG status)",New Page,2,/qip,GET /api/v1/qip/actions
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,QIP,Create / edit QIP action + log progress note,New Page,2,/qip,"POST /api/v1/qip/actions, PATCH /api/v1/qip/actions/:id"
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,ILR & DAS,"ILR submission status (return period, deadline, records, errors)",New Page,1,/ilr-das,GET /api/v1/ilr/status
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,ILR & DAS,"ILR data review table (per-learner fields, validation flags)",New Page,1,/ilr-das,GET /api/v1/ilr/records
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,ILR & DAS,Correct ILR record field,New Page,1,/ilr-das,PATCH /api/v1/ilr/records/:id
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,ILR & DAS,Submit ILR return to ESFA,New Page,1,/ilr-das,POST /api/v1/ilr/submit
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,ILR & DAS,"DAS funding summary (claimed, available, co-investment)",New Page,2,/ilr-das,GET /api/v1/das/funding
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Evidence Vault,"Evidence list (upload, tag by type and KSB, search)",New Page,1,/evidence,GET /api/v1/evidence?learnerId=&type=&ksbId=
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Evidence Vault,"Upload evidence document (multipart, tag, link to KSB)",New Page,1,/evidence,POST /api/v1/evidence
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Evidence Vault,"Update evidence metadata (tags, KSB link)",New Page,2,/evidence/:id,PATCH /api/v1/evidence/:id
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Evidence Vault,Delete evidence file,New Page,3,/evidence/:id,DELETE /api/v1/evidence/:id
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Evidence Vault,Download evidence package as ZIP (EPA submission),New Page,2,/evidence,POST /api/v1/evidence/export
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Reviews,Progress review schedule (upcoming and overdue 12-weekly reviews),New Page,1,/reviews,GET /api/v1/reviews
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Reviews,"Conduct / record review form (date, attendees, progress rating, actions, notes)",New Page,1,/reviews,POST /api/v1/reviews
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Reviews,Review history per learner,New Page,2,/reviews,GET /api/v1/reviews/:learnerId
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Reviews,Calendar view of upcoming reviews,New Page,3,/reviews,GET /api/v1/reviews/calendar
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Tutors,"Tutor roster (name, caseload count, assigned learners)",New Page,2,/tutors,GET /api/v1/tutors
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Tutors,Invite tutor by email,New Page,2,/tutors,POST /api/v1/tutors/invite
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Tutors,Assign / reassign learners to tutor,New Page,2,/tutors/:id,PATCH /api/v1/tutors/:id/learners
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Tutors,Remove tutor from organisation,New Page,3,/tutors/:id,DELETE /api/v1/tutors/:id
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Employer Partners,"Employer partner list (linked cohorts, learner count)",New Page,2,/employers,GET /api/v1/provider/employers
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Employer Partners,Invite employer to partner (generate invite link),New Page,2,/employers,POST /api/v1/provider/employers/invite
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Employer Partners,Unlink employer partner,New Page,3,/employers/:id,DELETE /api/v1/provider/employers/:id
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Commitment Statements,"Commitment statement list (learner, status: draft / signed / expired)",New Page,1,/commitment-statements,GET /api/v1/commitment-statements
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Commitment Statements,Generate commitment statement from template,New Page,1,/commitment-statements,POST /api/v1/commitment-statements
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Commitment Statements,Send for digital signing + track signature status,New Page,1,/commitment-statements/:id,POST /api/v1/commitment-statements/:id/send
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Commitment Statements,Download signed PDF,New Page,2,/commitment-statements/:id,GET /api/v1/commitment-statements/:id/download
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,KSB Coverage,"KSB coverage matrix (rows = KSB items, columns = learners, cells = coverage %)",New Page,2,/ksb-coverage,GET /api/v1/ksb-coverage
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,KSB Coverage,Gap highlighting (KSBs with no evidence),New Page,2,/ksb-coverage,GET /api/v1/ksb-coverage/gaps
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,KSB Coverage,Click cell to see linked evidence for learner + KSB,New Page,3,/ksb-coverage,GET /api/v1/ksb-coverage/:learnerId/:ksbId/evidence
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Reports,"Reports hub (ILR summary, Ofsted KPIs, completion, funding)",New Page,2,/reports,GET /api/v1/provider/reports
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Reports,"Generate and download report (ILR, Ofsted, completion, funding)",New Page,2,/reports,"POST /api/v1/provider/reports/generate, GET /api/v1/provider/reports/:id/download"
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Reports,Schedule report for email delivery,New Page,3,/reports,POST /api/v1/provider/reports/schedule
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Profile,Edit profile + avatar upload + change password,To Do,2,/profile,"PATCH /api/v1/users/me, POST /api/v1/users/me/avatar, POST /api/v1/auth/change-password"
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Settings,Notification preferences,To Do,3,/settings,"GET /api/v1/settings/notifications, PATCH /api/v1/settings/notifications"
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Settings,"Update org (UKPRN, Ofsted URN, logo)",To Do,2,/settings,PATCH /api/v1/organisations/:id
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Settings,DAS account connection,To Do,2,/settings,POST /api/v1/organisations/:id/das-connect
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Settings,"Team member management (invite, roles, remove)",Partial,2,/settings,"GET /api/v1/organisations/:id/members, POST /api/v1/organisations/:id/members/invite, DELETE /api/v1/organisations/:id/members/:uid"
FLOW PORTAL - Automation,Flow,Auth,Signup page + form,Done,1,/signup,POST /api/v1/auth/signup
FLOW PORTAL - Automation,Flow,Auth,Verify email page + resend cooldown,Done,1,/verify-email,"POST /api/v1/auth/verify-email, POST /api/v1/auth/resend-verification"
FLOW PORTAL - Automation,Flow,Auth,"Login, Forgot password, Reset password, Logout",Done,1,"/login, /forgot-password, /reset-password","POST /api/v1/auth/login, /logout, /forgot-password, /reset-password"
FLOW PORTAL - Automation,Flow,Organisation,Create organisation form,Done,1,/onboarding,POST /api/v1/organisations
FLOW PORTAL - Automation,Flow,Dashboard,"Dashboard home (layout, quick actions, workspace card)",Done,1,/,-
FLOW PORTAL - Automation,Flow,Dashboard,"Wire metric cards (Active Flows, Webhook Endpoints, Success Rate, Connections)",To Do,1,/,GET /api/v1/flow/dashboard/summary
FLOW PORTAL - Automation,Flow,Dashboard,"Rename / replace mismatched sub-page routes (currently /courses, /assessments, etc.)",To Do,1,-,-
FLOW PORTAL - Automation,Flow,Flows,"Flow list (name, trigger type, last run, status, run count)",To Do,1,/flows,GET /api/v1/flows?status=&page=
FLOW PORTAL - Automation,Flow,Flows,Toggle flow active / paused,To Do,1,/flows/:id,PATCH /api/v1/flows/:id/status
FLOW PORTAL - Automation,Flow,Flows,Duplicate flow,To Do,2,/flows/:id,POST /api/v1/flows/:id/duplicate
FLOW PORTAL - Automation,Flow,Flows,Delete flow,To Do,2,/flows/:id,DELETE /api/v1/flows/:id
FLOW PORTAL - Automation,Flow,Flows,Flow templates library (browse and use pre-built templates),To Do,3,/flows/templates,GET /api/v1/flows/templates
FLOW PORTAL - Automation,Flow,Flow Builder,Visual node-based canvas (React Flow or similar),To Do,1,/builder,GET /api/v1/flows/:id/definition
FLOW PORTAL - Automation,Flow,Flow Builder,"Trigger node (event-based, scheduled/cron, webhook received)",To Do,1,/builder,GET /api/v1/flows/triggers
FLOW PORTAL - Automation,Flow,Flow Builder,"Action nodes (send email, Slack, Teams, call webhook, update field, create task)",To Do,1,/builder,GET /api/v1/flows/actions
FLOW PORTAL - Automation,Flow,Flow Builder,Condition / branching node (if/then/else),To Do,2,/builder,-
FLOW PORTAL - Automation,Flow,Flow Builder,Delay / wait node,To Do,2,/builder,-
FLOW PORTAL - Automation,Flow,Flow Builder,Loop / iteration node,To Do,3,/builder,-
FLOW PORTAL - Automation,Flow,Flow Builder,Save and auto-save flow definition,To Do,1,/builder,PUT /api/v1/flows/:id/definition
FLOW PORTAL - Automation,Flow,Flow Builder,Test flow with sample data (show step-by-step trace),To Do,2,/builder,POST /api/v1/flows/:id/test
FLOW PORTAL - Automation,Flow,Flow Builder,Node configuration panel (right sidebar for each node type),To Do,1,/builder,-
FLOW PORTAL - Automation,Flow,Flow Builder,Flow versioning / history and rollback,To Do,3,/builder,"GET /api/v1/flows/:id/versions, POST /api/v1/flows/:id/rollback"
FLOW PORTAL - Automation,Flow,Connections,"Integration catalog (Slack, Teams, Sheets, Notion, email SMTP, custom API)",To Do,1,/connections,GET /api/v1/connections/catalog
FLOW PORTAL - Automation,Flow,Connections,"Connected integrations list (name, account, status, last used)",To Do,1,/connections,GET /api/v1/connections
FLOW PORTAL - Automation,Flow,Connections,"Connect integration (OAuth for Slack/Teams, API key for others)",To Do,1,/connections,POST /api/v1/connections/:type/connect
FLOW PORTAL - Automation,Flow,Connections,Disconnect / remove integration,To Do,2,/connections/:id,DELETE /api/v1/connections/:id
FLOW PORTAL - Automation,Flow,Connections,Test connection health,To Do,2,/connections/:id,POST /api/v1/connections/:id/test
FLOW PORTAL - Automation,Flow,Webhooks,"Webhook endpoint list (URL, secret, created date, last triggered)",To Do,1,/webhooks,GET /api/v1/webhooks
FLOW PORTAL - Automation,Flow,Webhooks,"Create webhook endpoint (URL, description, event subscriptions)",To Do,1,/webhooks,POST /api/v1/webhooks
FLOW PORTAL - Automation,Flow,Webhooks,"Webhook delivery log (timestamp, event, payload, response, latency)",To Do,2,/webhooks/:id/deliveries,GET /api/v1/webhooks/:id/deliveries
FLOW PORTAL - Automation,Flow,Webhooks,Re-trigger failed webhook delivery,To Do,2,/webhooks/:id/deliveries,POST /api/v1/webhooks/:id/deliveries/:did/redeliver
FLOW PORTAL - Automation,Flow,Webhooks,Rotate webhook signing secret,To Do,3,/webhooks/:id,POST /api/v1/webhooks/:id/rotate-secret
FLOW PORTAL - Automation,Flow,Activity Logs,"Execution history list (flow name, trigger, started, duration, status)",To Do,1,/activity,GET /api/v1/flows/executions?flowId=&status=&page=
FLOW PORTAL - Automation,Flow,Activity Logs,Execution detail - step-by-step trace with inputs/outputs per node,To Do,1,/activity/:id,GET /api/v1/flows/executions/:id
FLOW PORTAL - Automation,Flow,Activity Logs,Error highlighting on failed steps,To Do,2,/activity/:id,-
FLOW PORTAL - Automation,Flow,Activity Logs,Re-run failed execution,To Do,2,/activity/:id,POST /api/v1/flows/executions/:id/rerun
FLOW PORTAL - Automation,Flow,Analytics,"Flow analytics (run volume over time, success/failure rate, top flows)",To Do,2,/analytics,GET /api/v1/flow/analytics?dateFrom=&dateTo=
FLOW PORTAL - Automation,Flow,Analytics,Average execution duration per flow,To Do,3,/analytics,GET /api/v1/flow/analytics/duration
FLOW PORTAL - Automation,Flow,Reports,"Automation audit report (all executions with outcomes, for compliance)",To Do,3,/reports,POST /api/v1/flow/reports/generate
FLOW PORTAL - Automation,Flow,Profile,Edit profile + avatar upload + change password,To Do,2,/profile,"PATCH /api/v1/users/me, POST /api/v1/users/me/avatar, POST /api/v1/auth/change-password"
FLOW PORTAL - Automation,Flow,Settings,Notification preferences,To Do,3,/settings,"GET /api/v1/settings/notifications, PATCH /api/v1/settings/notifications"
FLOW PORTAL - Automation,Flow,Settings,"API key management (generate, list, revoke)",To Do,2,/settings,"GET /api/v1/api-keys, POST /api/v1/api-keys, DELETE /api/v1/api-keys/:id"
FLOW PORTAL - Automation,Flow,Settings,Team workspace settings and member management,To Do,2,/settings,"GET /api/v1/organisations/:id/members, POST /api/v1/organisations/:id/members/invite, DELETE /api/v1/organisations/:id/members/:uid"RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Provider/Employer/Flow,Organisation,"Org logo included in create payload (logoUrl optional, added to create schema + RHF-managed in form)",Done,1,create-organisation modal,"POST /api/v1/organisations { ..., logoUrl, portalType }"
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,Storage,Fixed S3 upload: switched XHR to fetch with matching Content-Type; root-caused CORS + bucket/region + presigner CRC32 checksum issues (server-side),Done,1,features/storage/services/,PUT {presigned S3 url}
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,Organisation,"Display org logoUrl via Avatar in Sidebar, User dropdown, Dashboard hero + organisation card (initials fallback)",Done,1,"sidebar, user menu, dashboard",from /api/v1/auth/me (activeOrganisation.organisation.logoUrl)
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,UI / Modal,"Standardised Modal: always icon + title + description + close, scrollable body, sticky footer with default Cancel (callers pass action only)",Done,1,components/ui/Modal.jsx,-
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Provider/Employer/Flow,UI / Modal,"Renamed modal consumers to *Modal.jsx convention (CreateOrganisationModal, RevokeInvitationModal); redesigned to standard header",Done,1,features/*/components/,-
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Provider/Employer/Flow,Invitations,"InviteModal: compiler-safe useWatch for role field (replaces watch()), header icon, busy-aware footer",Done,1,/settings/invitations,POST /api/v1/invitations
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Provider/Employer/Flow,Organisation,"Org logo included in create payload (logoUrl optional, added to create schema + RHF-managed in form)",Done,1,create-organisation modal,"POST /api/v1/organisations { ..., logoUrl, portalType }"
